time,frequency,dBm,latitude,lat_dir,longitude,lon_dir
1,2442,-88.5,0.47211622626741556,N,0.2328383424653293,W
1,2442,-87.5,0.47211622626741556,N,0.2328383424653293,W
1,2442,-91.5,0.47211622626741556,N,0.2328383424653293,W
1,2442,-92.0,0.47211622626741556,N,0.2328383424653293,W
2,2442,-83.0,0.47211622626741556,N,0.2328383424653293,W
2,2442,-90.0,0.6258592986951288,N,0.7822270411968902,W
2,2442,-63.5,0.6258592986951288,N,0.7822270411968902,W
2,2442,-91.5,0.6258592986951288,N,0.7822270411968902,W
2,2442,-84.5,0.6258592986951288,N,0.7822270411968902,W
2,2442,-93.5,0.6258592986951288,N,0.7822270411968902,W
2,2442,-92.0,0.6258592986951288,N,0.7822270411968902,W
2,2442,-79.5,0.6258592986951288,N,0.7822270411968902,W
3,2442,-94.0,0.2401580834781033,N,0.4948953219883194,W
3,2442,-82.5,0.2401580834781033,N,0.4948953219883194,W
3,2442,-95.5,0.2401580834781033,N,0.4948953219883194,W
3,2442,-97.0,0.2401580834781033,N,0.4948953219883194,W
3,2442,-81.5,0.2401580834781033,N,0.4948953219883194,W
3,2442,-91.0,0.2401580834781033,N,0.4948953219883194,W
3,2442,-78.0,0.2401580834781033,N,0.4948953219883194,W
4,2442,-83.5,0.2401580834781033,N,0.4948953219883194,W
4,2442,-74.5,0.5757972501405357,N,0.8954303834708918,W
4,2442,-89.0,0.5757972501405357,N,0.8954303834708918,W
4,2442,-84.0,0.5757972501405357,N,0.8954303834708918,W
4,2442,-87.5,0.5757972501405357,N,0.8954303834708918,W
4,2442,-98.5,0.5757972501405357,N,0.8954303834708918,W
4,2442,-90.0,0.5757972501405357,N,0.8954303834708918,W
5,2442,-81.5,0.5757972501405357,N,0.8954303834708918,W
5,2442,-92.5,0.6268361662896053,N,0.870690505795364,W
5,2442,-99.5,0.6268361662896053,N,0.870690505795364,W
5,2442,-93.0,0.6268361662896053,N,0.870690505795364,W
5,2442,-68.0,0.6268361662896053,N,0.870690505795364,W
5,2442,-91.5,0.6268361662896053,N,0.870690505795364,W
5,2442,-93.5,0.6268361662896053,N,0.870690505795364,W
6,2442,-78.5,0.6268361662896053,N,0.870690505795364,W
6,2442,-85.5,0.6603087618471578,N,0.32735655612233217,W
6,2442,-92.0,0.6603087618471578,N,0.32735655612233217,W
6,2442,-93.5,0.6603087618471578,N,0.32735655612233217,W
6,2442,-85.5,0.6603087618471578,N,0.32735655612233217,W
6,2442,-75.5,0.6603087618471578,N,0.32735655612233217,W
6,2442,-93.5,0.6603087618471578,N,0.32735655612233217,W
6,2442,-94.5,0.6603087618471578,N,0.32735655612233217,W
7,2442,-89.0,0.3478392170138819,N,0.09554541864243193,W
7,2442,-83.5,0.3478392170138819,N,0.09554541864243193,W
7,2442,-81.5,0.3478392170138819,N,0.09554541864243193,W
7,2442,-79.5,0.3478392170138819,N,0.09554541864243193,W
7,2442,-90.5,0.3478392170138819,N,0.09554541864243193,W
7,2442,-79.0,0.3478392170138819,N,0.09554541864243193,W
7,2442,-81.5,0.3478392170138819,N,0.09554541864243193,W
8,2442,-93.0,0.8983274974767804,N,0.08217933178419468,W
8,2442,-61.0,0.8983274974767804,N,0.08217933178419468,W
8,2442,-91.5,0.8983274974767804,N,0.08217933178419468,W
8,2442,-82.0,0.8983274974767804,N,0.08217933178419468,W
8,2442,-79.0,0.8983274974767804,N,0.08217933178419468,W
8,2442,-71.0,0.8983274974767804,N,0.08217933178419468,W
8,2442,-90.0,0.8983274974767804,N,0.08217933178419468,W
9,2442,-83.5,0.5105684502117976,N,0.894654076901055,W
